Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,86600.0,87300.0,84100.0,85000.0,80597.4609375,43227951
2021-01-19,84500.0,88000.0,83600.0,87000.0,82493.875,39895044
2021-01-20,89000.0,89000.0,86500.0,87200.0,82683.515625,25211127
2021-01-21,87500.0,88600.0,86500.0,88100.0,83536.890625,25318011
2021-01-22,89000.0,89700.0,86800.0,86800.0,82304.2421875,30861661
2021-01-25,87000.0,89900.0,86300.0,89400.0,84769.5703125,27258534
2021-01-26,88800.0,89200.0,86500.0,86700.0,82209.421875,33178936
2021-01-27,86600.0,87700.0,85600.0,85600.0,81166.3828125,26423070
2021-01-28,83200.0,85600.0,83200.0,83700.0,79364.8046875,31859808
2021-01-29,84500.0,85000.0,82000.0,82000.0,77752.8515625,39615978
2021-02-01,81700.0,83400.0,81000.0,83000.0,78701.0625,28046832
2021-02-02,84100.0,86400.0,83700.0,84400.0,80028.546875,26302077
2021-02-03,84800.0,85400.0,83400.0,84600.0,80218.1875,22112205
2021-02-04,83500.0,83800.0,82100.0,82500.0,78226.953125,24171688
2021-02-05,83100.0,84000.0,82500.0,83500.0,79175.15625,18036835
2021-02-08,83800.0,84200.0,83000.0,83000.0,78701.0625,15338765
2021-02-09,84000.0,84800.0,82700.0,82700.0,78416.6015625,20898332
2021-02-10,82600.0,82600.0,81600.0,81600.0,77373.5703125,23025766
2021-02-15,83800.0,84500.0,83300.0,84200.0,79838.90625,23529706
2021-02-16,84500.0,86000.0,84200.0,84900.0,80502.6484375,20483100
2021-02-17,83900.0,84200.0,83000.0,83200.0,78890.6953125,18307735
2021-02-18,83200.0,83600.0,82100.0,82100.0,77847.6640625,21327683
2021-02-19,82300.0,82800.0,81000.0,82600.0,78321.78125,25880879
2021-02-22,83800.0,84200.0,82200.0,82200.0,77942.4921875,25419886
2021-02-23,81200.0,82900.0,81100.0,82000.0,77752.8515625,20587314
2021-02-24,81800.0,83600.0,81300.0,82000.0,77752.8515625,26807651
2021-02-25,84000.0,85400.0,83000.0,85300.0,80881.9296875,34155986
2021-02-26,82800.0,83400.0,82000.0,82500.0,78226.953125,38520800
2021-03-02,85100.0,85300.0,83000.0,83600.0,79269.9921875,33498180
2021-03-03,83500.0,84000.0,82800.0,84000.0,79649.265625,19882132
2021-03-04,82600.0,83200.0,82200.0,82400.0,78132.140625,24348331
2021-03-05,81100.0,82600.0,81100.0,82100.0,77847.6640625,20508971
2021-03-08,82900.0,83000.0,81600.0,82000.0,77752.8515625,17641256
2021-03-09,81400.0,81900.0,80600.0,81400.0,77183.921875,25420764
2021-03-10,82400.0,82500.0,80700.0,80900.0,76709.8359375,20038422
2021-03-11,81000.0,82500.0,81000.0,82000.0,77752.8515625,23818297
2021-03-12,83100.0,83500.0,82400.0,82800.0,78511.4140625,13530573
2021-03-15,82800.0,82900.0,81800.0,81800.0,77563.203125,13735798
2021-03-16,82200.0,83000.0,82100.0,82800.0,78511.4140625,12293537
2021-03-17,82800.0,82900.0,82000.0,82300.0,78037.3125,11625146
2021-03-18,82800.0,83800.0,82600.0,82900.0,78606.2265625,18585244
2021-03-19,82100.0,82500.0,81800.0,81900.0,77658.03125,15869700
2021-03-22,82000.0,82300.0,81700.0,82000.0,77752.8515625,12670506
2021-03-23,82600.0,82900.0,81800.0,81800.0,77563.203125,13299907
2021-03-24,81000.0,81600.0,80700.0,81000.0,76804.6484375,17926638
2021-03-25,81000.0,82100.0,80800.0,81200.0,76994.2890625,14758826
2021-03-26,81400.0,81600.0,81000.0,81500.0,77278.75,12845778
2021-03-29,81700.0,81700.0,81000.0,81600.0,77373.5703125,14952134
2021-03-30,81600.0,82300.0,81300.0,82200.0,78288.8515625,13121698
2021-03-31,82400.0,82700.0,81400.0,81400.0,77526.8984375,17240518
2021-04-01,82500.0,83000.0,82000.0,82900.0,78955.5390625,18676461
2021-04-02,84000.0,85200.0,83900.0,84800.0,80765.140625,22997538
2021-04-05,85800.0,86000.0,84800.0,85400.0,81336.578125,16255990
2021-04-06,86200.0,86200.0,85100.0,86000.0,81908.0390625,19042023
2021-04-07,86100.0,86200.0,85400.0,85600.0,81527.0625,17885538
2021-04-08,85700.0,85700.0,84100.0,84700.0,80669.90625,19244259
2021-04-09,84700.0,84900.0,83400.0,83600.0,79622.2421875,18193707
2021-04-12,84100.0,84100.0,83100.0,83200.0,79241.2578125,12915282
2021-04-13,83000.0,84500.0,82800.0,84000.0,80003.203125,15238206
2021-04-14,84000.0,84300.0,83400.0,84000.0,80003.203125,13794652
2021-04-15,83700.0,84500.0,83400.0,84100.0,80098.4375,16377412
2021-04-16,84700.0,84700.0,83600.0,83900.0,79907.9609375,15429522
2021-04-19,83800.0,84000.0,83300.0,83300.0,79336.5078125,15287311
2021-04-20,83300.0,84000.0,83100.0,83900.0,79907.9609375,15521965
2021-04-21,83300.0,83500.0,82500.0,82600.0,78669.8203125,21636079
2021-04-22,82900.0,83000.0,82400.0,82400.0,78479.3359375,13934746
2021-04-23,81900.0,82900.0,81600.0,82800.0,78860.296875,17805080
2021-04-26,82900.0,83500.0,82600.0,83500.0,79526.9921875,15489938
2021-04-27,83200.0,83300.0,82500.0,82900.0,78955.5390625,12941533
2021-04-28,83200.0,83200.0,82100.0,82100.0,78193.6015625,15596759
2021-04-29,82400.0,82500.0,81500.0,81700.0,77812.625,20000973
2021-04-30,81900.0,82100.0,81500.0,81500.0,77622.15625,18673197
2021-05-03,81000.0,82400.0,81000.0,81700.0,77812.625,15710336
2021-05-04,81900.0,82600.0,81800.0,82600.0,78669.8203125,12532550
2021-05-06,81700.0,82300.0,81700.0,82300.0,78384.09375,17047511
2021-05-07,81800.0,82100.0,81500.0,81900.0,78003.1171875,14154882
2021-05-10,82300.0,83500.0,81800.0,83200.0,79241.2578125,19385027
2021-05-11,82500.0,82600.0,81100.0,81200.0,77336.421875,28996680
2021-05-12,80800.0,81200.0,79800.0,80000.0,76193.5234375,35812268
2021-05-13,78900.0,79600.0,78400.0,78500.0,74764.8984375,31490096
2021-05-14,79000.0,80300.0,78900.0,80100.0,76288.7734375,16450920
2021-05-17,80800.0,80900.0,79200.0,79600.0,75812.5546875,17740855
2021-05-18,79600.0,80000.0,79100.0,79600.0,75812.5546875,17494407
2021-05-20,79400.0,79700.0,79100.0,79500.0,75717.3203125,16541828
2021-05-21,80100.0,81500.0,79800.0,80100.0,76288.7734375,20961714
2021-05-24,80100.0,80400.0,79500.0,79700.0,75907.796875,13398666
2021-05-25,80000.0,80400.0,79800.0,79900.0,76098.2890625,13628942
2021-05-26,80400.0,80500.0,79700.0,79800.0,76003.0390625,11984359
2021-05-27,80000.0,80000.0,79100.0,79600.0,75812.5546875,23198510
2021-05-28,79800.0,80400.0,79400.0,80100.0,76288.7734375,12360199
2021-05-31,80300.0,80600.0,79600.0,80500.0,76669.7421875,13321324
2021-06-01,80500.0,81300.0,80100.0,80600.0,76764.9765625,14058401
2021-06-02,80400.0,81400.0,80300.0,80800.0,76955.453125,16414644
2021-06-03,81300.0,83000.0,81100.0,82800.0,78860.296875,29546007
2021-06-04,82700.0,82700.0,81500.0,82200.0,78288.8515625,18112259
2021-06-07,82700.0,82800.0,81600.0,81900.0,78003.1171875,16496197
2021-06-08,82300.0,82600.0,81800.0,81900.0,78003.1171875,12781226
2021-06-09,81500.0,82000.0,81100.0,81100.0,77241.1875,14908823
2021-06-10,81300.0,81400.0,80900.0,81000.0,77145.9453125,17586995
2021-06-11,81200.0,81700.0,80700.0,81000.0,77145.9453125,14087962
2021-06-14,80800.0,80900.0,80500.0,80500.0,76669.7421875,10550078
2021-06-15,80900.0,81200.0,80600.0,80900.0,77050.703125,10075685
2021-06-16,81500.0,81900.0,81100.0,81800.0,77907.875,14999855
2021-06-17,81100.0,81300.0,80700.0,80900.0,77050.703125,14007385
2021-06-18,81100.0,81100.0,80500.0,80500.0,76669.7421875,14916721
2021-06-21,79700.0,80000.0,79600.0,79900.0,76098.2890625,16063340
2021-06-22,80200.0,80300.0,79900.0,80000.0,76193.5234375,11773365
2021-06-23,80500.0,80600.0,79900.0,80100.0,76288.7734375,13856548
2021-06-24,80400.0,81400.0,80100.0,81200.0,77336.421875,18771080
2021-06-25,81500.0,81900.0,81200.0,81600.0,77717.3984375,13481405
2021-06-28,81700.0,82000.0,81600.0,81900.0,78003.1171875,11578529
2021-06-29,81900.0,82100.0,80800.0,81000.0,77487.5,15744317
2021-06-30,81100.0,81400.0,80700.0,80700.0,77200.5,13288643
2021-07-01,80500.0,80600.0,80000.0,80100.0,76626.53125,13382882
2021-07-02,80000.0,80400.0,79900.0,80000.0,76530.859375,8753097
2021-07-05,80100.0,80800.0,80000.0,80400.0,76913.515625,8330969
2021-07-06,80600.0,81200.0,80500.0,81200.0,77678.8125,12131651
2021-07-07,81200.0,81300.0,80300.0,80800.0,77296.1640625,15992202
2021-07-08,81100.0,81200.0,79900.0,79900.0,76435.1875,16660998
2021-07-09,79600.0,79800.0,79000.0,79400.0,75956.8671875,22720577
2021-07-12,79900.0,80000.0,79500.0,79700.0,76243.859375,9768108
2021-07-13,80000.0,80200.0,79800.0,79800.0,76339.53125,9863450
2021-07-14,79400.0,79600.0,79100.0,79500.0,76052.546875,11575636
2021-07-15,79800.0,80600.0,79500.0,80600.0,77104.8515625,13766279
2021-07-16,80100.0,80100.0,79500.0,79800.0,76339.53125,10859399
2021-07-19,79100.0,79200.0,78800.0,79000.0,75574.2265625,13155414
2021-07-20,78500.0,79000.0,78400.0,79000.0,75574.2265625,12456646
2021-07-21,79000.0,79100.0,78500.0,78500.0,75095.8984375,12355296
2021-07-22,79000.0,79800.0,78900.0,79700.0,76243.859375,12618790
2021-07-23,79700.0,79900.0,79200.0,79300.0,75861.2265625,9098910
2021-07-26,79400.0,79500.0,78800.0,78800.0,75382.8984375,10040975
2021-07-27,79200.0,79400.0,78500.0,78500.0,75095.8984375,11427693
2021-07-28,78300.0,79200.0,78100.0,79200.0,75765.5546875,12743417
2021-07-29,78800.0,79400.0,78800.0,79000.0,75574.2265625,14360453
2021-07-30,78900.0,78900.0,78500.0,78500.0,75095.8984375,13823411
2021-08-02,79200.0,79500.0,78700.0,79300.0,75861.2265625,11739124
2021-08-03,79400.0,81400.0,79300.0,81400.0,77870.15625,24339360
2021-08-04,82200.0,83100.0,81800.0,82900.0,79305.1015625,25642368
2021-08-05,83300.0,83300.0,82000.0,82100.0,78539.796875,18485469
2021-08-06,81900.0,82500.0,81300.0,81500.0,77965.8125,13342623
2021-08-09,81500.0,82300.0,80900.0,81500.0,77965.8125,15522581
2021-08-10,82300.0,82400.0,80100.0,80200.0,76722.1875,20362639
2021-08-11,79600.0,79800.0,78500.0,78500.0,75095.8984375,30241137
2021-08-12,77100.0,78200.0,76900.0,77000.0,73660.953125,42365223
2021-08-13,75800.0,76000.0,74100.0,74400.0,71173.6953125,61270643
2021-08-17,74000.0,75100.0,74000.0,74200.0,70982.375,30944847
2021-08-18,73900.0,74600.0,73100.0,73900.0,70695.3828125,29192631
2021-08-19,73500.0,74400.0,73100.0,73100.0,69930.0703125,22166298
2021-08-20,73500.0,73900.0,72500.0,72700.0,69547.421875,22364803
2021-08-23,73300.0,74000.0,73000.0,73300.0,70121.3984375,19384648
2021-08-24,73900.0,75700.0,73900.0,75600.0,72321.671875,21016913
2021-08-25,76200.0,76600.0,74900.0,75700.0,72417.328125,22319664
2021-08-26,76100.0,76200.0,74600.0,74600.0,71365.0234375,16671494
2021-08-27,74300.0,75000.0,73800.0,74300.0,71078.03125,15172748
2021-08-30,75400.0,75500.0,74200.0,74600.0,71365.0234375,12686999
2021-08-31,74900.0,76700.0,74300.0,76700.0,73373.9765625,24630370
2021-09-01,76700.0,77100.0,75900.0,76800.0,73469.625,16114775
2021-09-02,76800.0,76800.0,75700.0,76000.0,72704.3125,15347486
2021-09-03,76400.0,76700.0,76000.0,76600.0,73278.2890625,12096419
2021-09-06,76800.0,77600.0,76600.0,77300.0,73947.9375,12861180
2021-09-07,77100.0,77100.0,75900.0,76100.0,72799.984375,13239401
2021-09-08,76000.0,76400.0,75600.0,76300.0,72991.296875,11798147
2021-09-09,76400.0,76600.0,75000.0,75300.0,72034.671875,17600770
2021-09-10,75300.0,75600.0,74800.0,75300.0,72034.671875,10103212
2021-09-13,75200.0,76300.0,75100.0,76300.0,72991.296875,11397775
2021-09-14,77100.0,77700.0,76600.0,76600.0,73278.2890625,18167057
2021-09-15,77400.0,77400.0,76400.0,77000.0,73660.953125,12829128
2021-09-16,77300.0,77400.0,76100.0,76100.0,72799.984375,13067622
2021-09-17,76300.0,77200.0,75900.0,77200.0,73852.28125,16289502
2021-09-23,77500.0,77600.0,76800.0,77400.0,74043.6015625,17055590
2021-09-24,77600.0,77700.0,77100.0,77300.0,73947.9375,12247274
2021-09-27,77300.0,77700.0,77000.0,77700.0,74330.59375,11699798
2021-09-28,77700.0,77800.0,76200.0,76300.0,72991.296875,15406382
2021-09-29,74800.0,75300.0,73800.0,74100.0,71223.6875,23992458
2021-09-30,74300.0,74800.0,73700.0,74100.0,71223.6875,19919361
2021-10-01,73900.0,74000.0,72900.0,73200.0,70358.6328125,15803395
2021-10-05,73000.0,73000.0,71400.0,72200.0,69397.4453125,24013921
2021-10-06,72600.0,72800.0,71200.0,71300.0,68532.375,18956962
2021-10-07,71600.0,72100.0,71300.0,71600.0,68820.734375,13683532
2021-10-08,72300.0,72400.0,71500.0,71500.0,68724.6171875,14043287
2021-10-12,70700.0,70900.0,68700.0,69000.0,66321.65625,31001484
2021-10-13,68700.0,69600.0,68300.0,68800.0,66129.4140625,24172015
2021-10-14,69000.0,69800.0,68800.0,69400.0,66706.125,19520641
2021-10-15,70200.0,71000.0,70000.0,70100.0,67378.9453125,18051612
2021-10-18,70200.0,70300.0,69200.0,70200.0,67475.078125,13486391
2021-10-19,70800.0,71000.0,70400.0,70600.0,67859.546875,9507991
2021-10-20,70700.0,71000.0,70200.0,70300.0,67571.203125,10151638
2021-10-21,70300.0,70600.0,70000.0,70200.0,67475.078125,10891094
2021-10-22,70000.0,70700.0,70000.0,70400.0,67667.3125,8395448
2021-10-25,69900.0,70600.0,69500.0,70200.0,67475.078125,10029621
2021-10-26,70600.0,71500.0,70400.0,71100.0,68340.140625,10528252
2021-10-27,71000.0,71000.0,70000.0,70100.0,67378.9453125,10295316
2021-10-28,69500.0,72200.0,69500.0,70700.0,67955.6796875,20644902
2021-10-29,71200.0,71600.0,69700.0,69800.0,67090.6015625,17016151
2021-11-01,70200.0,70600.0,69900.0,69900.0,67186.7265625,11503729
2021-11-02,70800.0,72200.0,70700.0,71500.0,68724.6171875,16812570
2021-11-03,71700.0,71700.0,70100.0,70400.0,67667.3125,12770428
2021-11-04,71200.0,71600.0,70500.0,70600.0,67859.546875,11818987
2021-11-05,71600.0,71600.0,70200.0,70200.0,67475.078125,12667743
2021-11-08,70400.0,70600.0,69800.0,70600.0,67859.546875,11121981
2021-11-09,70300.0,71000.0,70100.0,70500.0,67763.4140625,11159589
2021-11-10,70300.0,70900.0,70200.0,70200.0,67475.078125,9422009
2021-11-11,69900.0,70000.0,69600.0,69900.0,67186.7265625,11489122
2021-11-12,70200.0,70900.0,69900.0,70600.0,67859.546875,10087450
2021-11-15,71700.0,71900.0,70900.0,71400.0,68628.484375,12420710
2021-11-16,71500.0,72000.0,71300.0,71300.0,68532.375,10919239
2021-11-17,71300.0,71600.0,70600.0,70700.0,67955.6796875,11027606
2021-11-18,70700.0,71000.0,70200.0,70200.0,67475.078125,10144957
2021-11-19,70400.0,71400.0,70100.0,71200.0,68436.2578125,11954728
2021-11-22,73300.0,75200.0,73000.0,74900.0,71992.6328125,27506623
2021-11-23,76000.0,76000.0,74500.0,75300.0,72377.109375,22029195
2021-11-24,76000.0,76200.0,74100.0,74800.0,71896.5234375,15652305
2021-11-25,75100.0,75100.0,73600.0,73700.0,70839.2109375,12559258
2021-11-26,73500.0,74100.0,72000.0,72300.0,69493.5625,13002242
2021-11-29,71700.0,73000.0,71400.0,72300.0,69493.5625,16682559
2021-11-30,73200.0,73900.0,70500.0,71300.0,68532.375,30364841
2021-12-01,72000.0,74800.0,71600.0,74400.0,71512.0546875,21954856
2021-12-02,73900.0,75800.0,73800.0,75800.0,72857.6953125,23652940
2021-12-03,75600.0,76000.0,74100.0,75600.0,72665.46875,18330240
2021-12-06,75100.0,76700.0,74900.0,76300.0,73338.296875,16391250
2021-12-07,76100.0,77700.0,75600.0,77400.0,74395.5859375,19232453
2021-12-08,78300.0,78600.0,77100.0,77400.0,74395.5859375,21558340
2021-12-09,77400.0,78200.0,77000.0,78200.0,75164.5390625,21604528
2021-12-10,77400.0,77600.0,76800.0,76900.0,73914.9921875,9155219
2021-12-13,77200.0,78300.0,76500.0,76800.0,73818.890625,15038750
2021-12-14,76500.0,77200.0,76200.0,77000.0,74011.1171875,10976660
2021-12-15,76400.0,77600.0,76300.0,77600.0,74587.84375,9584939
2021-12-16,78500.0,78500.0,77400.0,77800.0,74780.0625,11996128
2021-12-17,76800.0,78000.0,76800.0,78000.0,74972.3125,13108479
2021-12-20,77600.0,77800.0,76800.0,77100.0,74107.234375,11264375
2021-12-21,77900.0,78300.0,77500.0,78100.0,75068.421875,14245298
2021-12-22,78900.0,79400.0,78800.0,79400.0,76317.953125,17105892
2021-12-23,79800.0,80000.0,79300.0,79900.0,76798.5546875,13577498
2021-12-24,80200.0,80800.0,80200.0,80500.0,77375.265625,12086380
2021-12-27,80600.0,80600.0,79800.0,80200.0,77086.90625,10783368
2021-12-28,80200.0,80400.0,79700.0,80300.0,77183.015625,18226325
2021-12-29,80200.0,80200.0,78500.0,78800.0,76083.2890625,19794795
2021-12-30,78900.0,79500.0,78100.0,78300.0,75600.53125,14236700
2022-01-04,78800.0,79200.0,78300.0,78700.0,75986.7421875,12427416
2022-01-05,78800.0,79000.0,76400.0,77400.0,74731.546875,25470640
2022-01-06,76700.0,77600.0,76600.0,76900.0,74248.796875,12931954
2022-01-07,78100.0,78400.0,77400.0,78300.0,75600.53125,15163757
2022-01-10,78100.0,78100.0,77100.0,78000.0,75310.875,9947422
2022-01-11,78400.0,79000.0,78000.0,78900.0,76179.84375,13221123
2022-01-12,79500.0,79600.0,78600.0,78900.0,76179.84375,11000502
2022-01-13,79300.0,79300.0,77900.0,77900.0,75214.3203125,13889401
2022-01-14,77700.0,78100.0,77100.0,77300.0,74635.0078125,10096725
2022-01-17,77600.0,77800.0,76900.0,77500.0,74828.109375,8785122
2022-01-18,77600.0,77800.0,76600.0,77000.0,74345.34375,9592788
2022-01-19,76500.0,76900.0,76100.0,76300.0,73669.484375,10598290
2022-01-20,76200.0,76700.0,75900.0,76500.0,73862.5859375,9708168
2022-01-21,75800.0,75800.0,74700.0,75600.0,72993.609375,15774888
2022-01-24,75400.0,75800.0,74700.0,75100.0,72510.84375,13691134
2022-01-25,74800.0,75000.0,73200.0,74000.0,71448.7734375,17766704
2022-01-26,74000.0,74000.0,74000.0,74000.0,71448.7734375,0
2022-01-27,73800.0,74000.0,71300.0,71300.0,68841.859375,22274777
2022-01-28,71300.0,73700.0,71200.0,73300.0,70772.921875,21367447
